iter	Passed	Remaining
509	19980	19197
510	20021	19159
511	20061	19121
512	20101	19082
513	20141	19043
514	20180	19005
515	20221	18967
516	20262	18929
517	20302	18891
518	20342	18853
519	20383	18815
520	20423	18776
521	20463	18738
522	20504	18701
523	20544	18662
524	20584	18624
525	20625	18586
526	20665	18548
527	20706	18510
528	20746	18472
529	20786	18433
530	20827	18395
531	20867	18357
532	20907	18318
533	20948	18280
534	20988	18242
535	21029	18204
536	21068	18165
537	21109	18127
538	21149	18089
539	21189	18050
540	21230	18012
541	21270	17974
542	21311	17936
543	21351	17897
544	21392	17859
545	21433	17821
546	21473	17783
547	21513	17744
548	21554	17706
549	21595	17668
550	21635	17630
551	21676	17592
552	21716	17553
553	21757	17515
554	21797	17476
555	21837	17438
556	21878	17400
557	21918	17361
558	21958	17323
559	21998	17284
560	22039	17246
561	22079	17208
562	22120	17169
563	22161	17131
564	22201	17092
565	22240	17054
566	22281	17015
567	22321	16977
568	22362	16938
569	22402	16900
570	22443	16861
571	22483	16823
572	22523	16784
573	22563	16745
574	22603	16707
575	22644	16668
576	22684	16630
577	22724	16591
578	22765	16552
579	22805	16514
580	22846	16476
581	22887	16437
582	22928	16399
583	22968	16360
584	23008	16322
585	23049	16283
586	23090	16245
587	23130	16207
588	23170	16168
589	23211	16130
590	23252	16091
591	23293	16053
592	23333	16014
593	23373	15976
594	23414	15937
595	23455	15899
596	23495	15860
597	23535	15821
598	23577	15783
599	23617	15745
600	23659	15707
601	23701	15669
602	23741	15630
603	23781	15591
604	23822	15553
605	23862	15514
606	23902	15475
607	23942	15436
608	23983	15398
609	24024	15359
610	24064	15321
611	24113	15287
612	24154	15249
613	24194	15210
614	24235	15171
615	24275	15132
616	24316	15094
617	24357	15055
618	24397	15016
619	24437	14978
620	24479	14939
621	24519	14900
622	24560	14862
623	24600	14823
624	24641	14784
625	24681	14745
626	24721	14706
627	24762	14668
628	24802	14628
629	24843	14590
630	24883	14551
631	24925	14513
632	24965	14474
633	25006	14435
634	25046	14397
635	25087	14358
636	25128	14319
637	25168	14280
638	25211	14243
639	25253	14205
640	25294	14166
641	25335	14127
642	25375	14088
643	25416	14050
644	25457	14011
645	25498	13973
646	25539	13934
647	25580	13895
648	25620	13856
649	25661	13817
650	25702	13778
651	25743	13740
652	25783	13701
653	25823	13662
654	25864	13623
655	25914	13589
656	25967	13556
657	26007	13517
658	26047	13478
659	26088	13439
660	26129	13400
661	26170	13362
662	26213	13324
663	26254	13285
664	26294	13246
665	26335	13207
666	26376	13168
667	26417	13129
668	26457	13090
669	26498	13051
670	26538	13012
671	26578	12972
672	26619	12933
673	26660	12895
674	26701	12856
675	26741	12817
676	26782	12777
677	26822	12738
678	26863	12699
679	26904	12660
680	26946	12622
681	26989	12584
682	27031	12546
683	27072	12507
684	27112	12467
685	27152	12428
686	27193	12389
687	27233	12350
688	27274	12311
689	27315	12272
690	27355	12232
691	27395	12193
692	27436	12154
693	27475	12114
694	27515	12075
695	27556	12036
696	27596	11996
697	27636	11957
698	27677	11918
699	27717	11878
700	27758	11839
701	27799	11800
702	27839	11761
703	27880	11722
704	27921	11683
705	27961	11644
706	28002	11604
707	28042	11565
708	28083	11526
709	28124	11487
710	28164	11448
711	28206	11409
712	28248	11370
713	28291	11332
714	28332	11293
715	28372	11253
716	28413	11214
717	28453	11175
718	28493	11135
719	28534	11096
720	28575	11057
721	28615	11018
722	28655	10978
723	28695	10939
724	28736	10899
725	28776	10860
726	28817	10821
727	28857	10781
728	28898	10742
729	28938	10703
730	28978	10663
731	29018	10624
732	29058	10584
733	29098	10545
734	29138	10505
735	29179	10466
736	29220	10427
737	29261	10388
738	29302	10349
739	29343	10309
740	29384	10270
741	29424	10231
742	29465	10191
743	29507	10152
744	29548	10113
745	29588	10074
746	29629	10035
747	29670	9995
748	29711	9956
749	29752	9917
750	29792	9878
751	29833	9838
752	29874	9799
753	29914	9759
754	29954	9720
755	29994	9680
756	30035	9641
757	30075	9602
758	30116	9562
759	30157	9523
760	30199	9484
761	30239	9445
762	30283	9406
763	30326	9367
764	30367	9328
765	30408	9289
766	30449	9249
767	30490	9210
768	30531	9171
769	30571	9131
770	30612	9092
771	30652	9052
772	30693	9013
773	30734	8974
774	30774	8934
775	30815	8895
776	30856	8855
777	30896	8816
778	30937	8776
779	30978	8737
780	31019	8698
781	31059	8658
782	31100	8619
783	31141	8579
784	31181	8540
785	31222	8500
786	31262	8461
787	31302	8421
788	31342	8381
789	31382	8342
790	31423	8302
791	31464	8263
792	31505	8223
793	31545	8184
794	31586	8144
795	31627	8105
796	31667	8065
797	31707	8026
798	31747	7986
799	31788	7947
800	31828	7907
801	31869	7868
802	31909	7828
803	31950	7788
804	31990	7749
805	32031	7709
806	32072	7670
807	32112	7630
808	32154	7591
809	32194	7551
810	32236	7512
811	32277	7473
812	32317	7433
813	32358	7393
814	32400	7354
815	32441	7315
816	32483	7275
817	32523	7236
818	32564	7196
819	32604	7157
820	32645	7117
821	32685	7077
822	32726	7038
823	32767	6998
824	32807	6959
825	32848	6919
826	32889	6880
827	32929	6840
828	32969	6800
829	33009	6760
830	33049	6721
831	33090	6681
832	33131	6642
833	33172	6602
834	33213	6563
835	33254	6523
836	33294	6483
837	33335	6444
838	33377	6404
839	33418	6365
840	33459	6325
841	33500	6286
842	33541	6246
843	33582	6207
844	33623	6167
845	33664	6127
846	33704	6088
847	33745	6048
848	33786	6009
849	33827	5969
850	33868	5930
851	33910	5890
852	33951	5850
853	33992	5811
854	34032	5771
855	34072	5731
856	34113	5692
857	34154	5652
858	34207	5614
859	34253	5576
860	34293	5536
861	34334	5496
862	34375	5457
863	34415	5417
864	34457	5377
865	34498	5338
866	34538	5298
867	34579	5258
868	34620	5219
869	34661	5179
870	34703	5139
871	34745	5100
872	34785	5060
873	34826	5020
874	34867	4981
875	34907	4941
876	34949	4901
877	34990	4862
878	35031	4822
879	35089	4784
880	35130	4745
881	35172	4705
882	35213	4665
883	35257	4626
884	35298	4586
885	35339	4547
886	35380	4507
887	35420	4467
888	35461	4427
889	35502	4388
890	35545	4348
891	35588	4308
892	35629	4269
893	35670	4229
894	35712	4189
895	35753	4149
896	35793	4110
897	35835	4070
898	35876	4030
899	35917	3990
900	35958	3951
901	35999	3911
902	36040	3871
903	36080	3831
904	36122	3791
905	36163	3752
906	36205	3712
907	36245	3672
908	36286	3632
909	36327	3592
910	36368	3552
911	36409	3513
912	36450	3473
913	36490	3433
914	36531	3393
915	36572	3353
916	36612	3313
917	36654	3274
918	36694	3234
919	36735	3194
920	36776	3154
921	36817	3114
922	36858	3074
923	36899	3035
924	36940	2995
925	36981	2955
926	37021	2915
927	37062	2875
928	37104	2835
929	37145	2795
930	37186	2756
931	37226	2716
932	37268	2676
933	37309	2636
934	37351	2596
935	37392	2556
936	37432	2516
937	37473	2476
938	37514	2437
939	37555	2397
940	37596	2357
941	37638	2317
942	37679	2277
943	37721	2237
944	37762	2197
945	37802	2157
946	37843	2117
947	37884	2078
948	37924	2038
949	37965	1998
950	38007	1958
951	38048	1918
952	38090	1878
953	38132	1838
954	38173	1798
955	38215	1758
956	38256	1718
957	38298	1679
958	38340	1639
959	38383	1599
960	38427	1559
961	38468	1519
962	38509	1479
963	38550	1439
964	38592	1399
965	38634	1359
966	38676	1319
967	38717	1279
968	38758	1239
969	38800	1200
970	38841	1160
971	38883	1120
972	38924	1080
973	38965	1040
974	39006	1000
975	39048	960
976	39089	920
977	39131	880
978	39171	840
979	39213	800
980	39257	760
981	39299	720
982	39341	680
983	39382	640
984	39425	600
985	39467	560
986	39508	520
987	39551	480
988	39593	440
989	39635	400
990	39677	360
991	39718	320
992	39759	280
993	39801	240
994	39841	200
995	39884	160
996	39926	120
997	39969	80
998	40011	40
999	40053	0
