iter	Logloss
203	0.1566585742
204	0.1558856295
205	0.1550443884
206	0.1542006208
207	0.1535231607
208	0.1527845148
209	0.1517710267
210	0.1508346357
211	0.1502294038
212	0.1492601361
213	0.1484260224
214	0.1477791636
215	0.1468735578
216	0.1461302272
217	0.1454673901
218	0.1448172519
219	0.1439857818
220	0.1433107476
221	0.1426668669
222	0.1417250717
223	0.1411458735
224	0.1405054394
225	0.1398449613
226	0.1390957916
227	0.1385186095
228	0.137763107
229	0.1372424176
230	0.1366005446
231	0.1359345369
232	0.1352243256
233	0.1345757769
234	0.1340354786
235	0.1335176501
236	0.132996944
237	0.1324398058
238	0.1318962532
239	0.1313675077
240	0.1307316579
241	0.1298667004
242	0.1293072617
243	0.1287696152
244	0.1281945162
245	0.1277502211
246	0.1270812185
247	0.1266220829
248	0.1261070569
249	0.1254480596
250	0.1248334583
251	0.1242962636
252	0.1237637369
253	0.1232626229
254	0.1226757451
255	0.1222071229
256	0.1216981453
257	0.1209824127
258	0.1205173124
259	0.1198871345
260	0.1192123263
261	0.1185727621
262	0.1181579305
263	0.1176162519
264	0.1169771395
265	0.1162914812
266	0.1157253165
267	0.1150047737
268	0.1145417732
269	0.1141188605
270	0.1136955462
271	0.1132988344
272	0.112833709
273	0.1124258376
274	0.11193375
275	0.1113643981
276	0.1109388335
277	0.1103472542
278	0.10984522
279	0.1092965979
280	0.1089285298
281	0.1085086956
282	0.1081586972
283	0.1077600278
284	0.1071801939
285	0.1067347778
286	0.1063628113
287	0.105854963
288	0.1054613381
289	0.1050917642
290	0.1047502819
291	0.1041829879
292	0.1038550578
293	0.1035061468
294	0.1031455157
295	0.1028311545
296	0.1023098293
297	0.1019423468
298	0.1016089205
299	0.1011745219
300	0.1006384398
301	0.1002268122
302	0.09989534345
303	0.09958349194
304	0.09925430699
305	0.09880211479
306	0.09847958883
307	0.09813363929
308	0.09781125554
309	0.09752669251
310	0.09721762674
311	0.09678204018
312	0.09644951737
313	0.09606399871
314	0.09570568486
315	0.095396594
316	0.09507175914
317	0.09472575941
318	0.09428895984
319	0.09382348312
320	0.09331615348
321	0.09303881829
322	0.09273220363
323	0.09228644455
324	0.09196895466
325	0.09170430167
326	0.09134943443
327	0.09108938251
328	0.09076972593
329	0.09044293353
330	0.09014528676
331	0.08978349284
332	0.08950066148
333	0.08919896578
334	0.08886840887
335	0.08858053308
336	0.08822079709
337	0.08782199391
338	0.08746970327
339	0.0870397802
340	0.08669421547
341	0.08639295478
342	0.08612861131
343	0.08589575583
344	0.08565946211
345	0.08530848486
346	0.08498392607
347	0.08469807474
348	0.08442215334
349	0.08415289092
350	0.08389585897
351	0.08355741334
352	0.08329441673
353	0.0830639789
354	0.08266732567
355	0.0824346375
356	0.08219866167
357	0.08196111311
358	0.08169980635
359	0.08145456983
360	0.08121522268
361	0.08088120243
362	0.0806403913
363	0.08042726182
364	0.08010650099
365	0.07990147775
366	0.07967256245
367	0.07947255854
368	0.07925783124
369	0.07904907695
370	0.07871143441
371	0.07836992699
372	0.07816818304
373	0.07793992862
374	0.07771715365
375	0.07738640434
376	0.07707704578
377	0.0768770084
378	0.07663606343
379	0.07643043786
380	0.07623037539
381	0.07597714976
382	0.07567101194
383	0.07547353443
384	0.0752481494
385	0.07499462262
386	0.07480411362
387	0.07460253699
388	0.07438919
389	0.07417783403
390	0.0739147454
391	0.07369181984
392	0.07338113952
393	0.07318294257
394	0.07292158562
395	0.07262731853
396	0.07242785002
397	0.07222525279
398	0.0719302328
399	0.07174516979
400	0.07154964982
401	0.07138213777
402	0.07111623831
403	0.07094980541
404	0.07066955064
405	0.07037745024
406	0.07010534353
407	0.06993119758
408	0.0697380618
409	0.06955829001
410	0.06939561743
411	0.06920789417
412	0.06903160664
413	0.06884900311
414	0.06865068068
415	0.06839382858
416	0.06812508901
417	0.06797155999
418	0.06774540951
419	0.06757333822
420	0.06741092498
421	0.06723939327
422	0.06705839592
423	0.06681156995
424	0.06656383213
425	0.06641237359
426	0.06612806989
427	0.06586136734
428	0.06562878374
429	0.06542989664
430	0.0652037838
431	0.0649858023
432	0.06483180063
433	0.06455463694
434	0.06440388529
435	0.06416571768
436	0.06390942607
437	0.06375066021
438	0.06352781413
439	0.06334985766
440	0.06320959225
441	0.06300698665
442	0.06277913378
443	0.0626290221
444	0.06247167838
445	0.06230658816
446	0.06212716772
447	0.06200264211
448	0.06187387935
449	0.06173497752
450	0.06158771431
451	0.06145307474
452	0.0612401544
453	0.06099794622
454	0.06076927352
455	0.06061861808
456	0.06046632298
457	0.06028378637
458	0.06015084919
459	0.06001238656
460	0.05989050029
461	0.05975974234
462	0.05963349761
463	0.05950626574
464	0.05936617182
465	0.0591683806
466	0.05898511619
467	0.05884987848
468	0.05862682326
469	0.05850280377
470	0.05837158571
471	0.05815920077
472	0.05796603153
473	0.05782251191
474	0.05769423435
475	0.05757364056
476	0.05743498551
477	0.05731866234
478	0.05712521704
479	0.05699734102
480	0.05685869016
481	0.05673794579
482	0.05662571756
483	0.05651509971
484	0.05638704802
485	0.0562131363
486	0.05600744381
487	0.05589158075
488	0.05574890605
489	0.05562666006
490	0.05545540023
491	0.05531424807
492	0.05520127112
493	0.0550880474
494	0.05494493351
495	0.05483596367
496	0.05471217005
497	0.05459143404
498	0.05448277373
499	0.05431454642
500	0.05416406665
501	0.05405325639
502	0.05392470694
503	0.053777427
504	0.0536609909
505	0.05355456419
506	0.05344829225
507	0.05334429155
508	0.05324582468
509	0.05310641674
510	0.05300033302
511	0.05289413636
512	0.0527792939
513	0.05263917906
514	0.0525332752
515	0.05242689869
516	0.05231651507
517	0.05221587733
518	0.05211108191
519	0.05200566744
520	0.05188280239
521	0.05177404169
522	0.05166431895
523	0.05156256023
524	0.05142096469
525	0.0513202684
526	0.05119877113
527	0.05106510196
528	0.05095805202
529	0.05081648157
530	0.050654244
531	0.0505131504
532	0.05034286097
533	0.05023723736
534	0.05012876527
535	0.04998091647
536	0.04989186504
537	0.04974153586
538	0.04961314954
539	0.04951349058
540	0.04941636219
541	0.04928153021
542	0.04917883036
543	0.0491051172
544	0.04901619125
545	0.04892450048
546	0.04876626584
547	0.04862787431
548	0.04848616165
549	0.0483881758
550	0.04822138736
551	0.04806501824
552	0.04797634326
553	0.04789361201
554	0.04776331416
555	0.04767497799
556	0.04758276019
557	0.04749193526
558	0.04734177757
559	0.04721727706
560	0.04713365488
561	0.04705986224
562	0.0469747719
563	0.04688660722
564	0.04674750044
565	0.04660866553
566	0.04646135631
567	0.04638184999
568	0.04629504053
569	0.04621270247
570	0.04612466745
571	0.04603900407
572	0.04593843745
573	0.04580235063
574	0.04564918133
575	0.04555922224
576	0.04542575803
577	0.04533851356
578	0.04525561918
579	0.04513400898
580	0.04504124324
581	0.04496032313
582	0.04488649703
583	0.04476707023
584	0.04468932068
585	0.04461494245
586	0.04453328618
587	0.04441556596
588	0.04433604291
589	0.04425076434
590	0.04416707106
591	0.04407709942
592	0.04397283521
593	0.04386799796
594	0.04375478678
595	0.04367829624
596	0.0435886634
597	0.04350818249
598	0.04342960475
599	0.04334957558
600	0.04327875271
601	0.04318275368
602	0.0430933007
603	0.04301598198
604	0.04294314301
605	0.04287825551
606	0.04280156838
607	0.04272330016
608	0.04260880905
609	0.04249551003
610	0.04238260001
611	0.04230376712
612	0.0422261556
613	0.04216079545
614	0.04205899071
615	0.04198760735
616	0.04187328355
617	0.04179977534
618	0.04169633932
619	0.04163962916
620	0.04157299744
621	0.04149952269
622	0.04140936701
623	0.04133968186
624	0.04123539674
625	0.04117065564
626	0.04110063168
627	0.04102880076
628	0.04095732957
629	0.04088292206
630	0.04082251432
631	0.04073925604
632	0.04065664609
633	0.04056776616
634	0.04049801826
635	0.04043604198
636	0.04036243338
637	0.04028153001
638	0.04015857295
639	0.04008434112
640	0.04001952891
641	0.03993132658
642	0.03986795743
643	0.03979902937
644	0.03973312545
645	0.03962287568
646	0.039533933
647	0.03946229031
648	0.03936068635
649	0.03924597355
650	0.03917797825
651	0.03911504411
652	0.03904956684
653	0.03895650412
654	0.03886483008
655	0.0387683584
656	0.03865372507
657	0.03855157735
658	0.03848797815
659	0.03843108395
660	0.03836826693
661	0.03826899278
662	0.03820845955
663	0.03812108542
664	0.03801122465
665	0.03794569718
666	0.03786313743
667	0.0378041853
668	0.03774178656
669	0.03764654461
670	0.03754305421
671	0.03748096081
672	0.03742512485
673	0.03736708039
674	0.0372902385
675	0.03722746749
676	0.03712813478
677	0.03706918265
678	0.03701251013
679	0.03690917032
680	0.03684817699
681	0.03675949783
682	0.03670536426
683	0.03661261943
684	0.03651939359
685	0.03642954743
686	0.03637501231
687	0.03631823523
688	0.0362337263
689	0.03618002774
690	0.03612919858
691	0.03607179826
692	0.03601586191
693	0.03594839364
694	0.03587053533
695	0.03581982328
696	0.03576364434
697	0.03571020929
698	0.03562430332
699	0.03553030784
700	0.03547824893
701	0.03542427431
702	0.03537495094
703	0.03530387711
704	0.03525533174
705	0.03520942989
706	0.03516433532
