x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM
2,0.32731789834010644,2,0.4545154612795397
3,0.47462678759638594,3,0.4443482978963915
4,0.5031182414179819,4,0.8867866413817204
5,0.4927311984243568,5,0.8628571117448277
6,0.7006162921670428,6,0.8898871437061036
7,0.7966335724218417,7,0.9437096196098966
8,0.7869280342061264,8,0.9452743884522617
9,0.8095241381114311,9,0.9631805457290222
10,0.8747897989118385,10,0.9737598914884233
11,0.9005523672929501,11,0.9701675773697934
12,0.9106540553561828,12,0.9611831279421307
13,0.9354288322676786,13,0.9858217806372619
14,0.9483012624828836,14,0.9912060853889109
15,0.9737144719383598,15,0.9947236512333465
16,0.96117726533239,16,0.9699758433830457
17,0.9700733295458094,17,0.9894516994239986
18,0.9540064791788123,18,0.9911794371628166
19,0.9498339045373781,19,0.9982412170777821
20,0.9460876302924889,20,0.9894206542405989
21,0.9565562480720715,21,0.9982412170777821
22,0.9536160042893966,22,0.9946970030072523
23,0.9716044190514793,23,0.9878404144332122
24,0.9583736923614077,24,0.9982412170777821
25,0.9428162947387041,25,1.0
26,0.9605346903864095,26,0.9947236512333465
27,0.9700397991256717,27,0.9947236512333465
28,0.960711352449987,28,0.9964824341555644
29,0.9644392903640093,29,1.0
30,0.978684053277928,30,0.9947995986777151
31,0.953347914615635,31,0.9894206542405989
32,0.9570008377732021,32,0.9964557859294702
33,0.9698199512603944,33,0.9964824341555644
34,0.9414489487000486,34,0.9982412170777821
35,0.9538288994212084,35,0.9947236512333465
36,0.9464846222407274,36,0.9964824341555644
37,0.9572687856865794,37,0.9929648683111287
38,0.9516123665952573,38,0.9947236512333465
39,0.9499066541946153,39,1.0
40,0.9489434644559298,40,0.9838130530297076
41,0.9627656021794214,41,0.9912060853889109
42,0.9680660675906901,42,0.9982412170777821
43,0.9714993381442787,43,0.9964824341555644
44,0.9557132823847193,44,0.9964824341555644
45,0.9629087031535474,45,0.9947236512333465
46,0.9644038482233039,46,0.9947236512333465
47,0.9554118040512044,47,0.9929382200850345
48,0.9610115290415111,48,0.9964824341555644
49,0.9662713402325591,49,0.9946970030072523
