x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest,x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM,x_fibrinogen_before_hydrolysis_LDA,y_fibrinogen_before_hydrolysis_LDA,x_fibrinogen_after_hydrolysis_LDA,y_fibrinogen_after_hydrolysis_LDA
113,0.8367917333528629,113,0.9231879389419896,113,0.9682707566364076,113,0.9929648683111288,113,0.5168387504846625,113,0.3599194340859718
114,0.8499729815271327,114,0.92624802596535,114,0.9715916742476952,114,1.0,114,0.5165482601640687,114,0.3449189367605876
115,0.8511836811483998,115,0.9310621788852548,115,0.9698422025291832,115,0.9894560963813042,115,0.514921284923977,115,0.3138059055321184
116,0.8482669651595128,116,0.9369234229043936,116,0.9736675553850068,116,0.9929692652684342,116,0.4781237125701918,116,0.3027122863430907
117,0.8512886801855708,117,0.9143573673445938,117,0.9590811158678196,117,0.9929648683111288,117,0.4464460600587278,117,0.2921418034042103
118,0.8623589234987666,118,0.9156696795144272,118,0.9550919469609384,118,0.9912060853889108,118,0.4021488500119894,118,0.3073406401262031
119,0.8398061213422069,119,0.9214427616089668,119,0.9752565891070046,119,0.9875805635594798,119,0.3942679335338379,119,0.2733701780940435
120,0.8405073270371073,120,0.9194060121308246,120,0.9698368422146504,120,0.9929648683111288,120,0.4088077416214769,120,0.2499217240213938
121,0.8502579522728159,121,0.8983020299365915,121,0.975252192149699,121,0.9964868311128698,121,0.3841716863943179,121,0.2425203093614464
122,0.8614063109249116,122,0.9191960178049544,122,0.9625441710960057,122,0.9929648683111288,122,0.3420086437038259,122,0.2453619660766262
123,0.8248474018992825,123,0.9143445721068268,123,0.9662371638825932,123,0.9964824341555644,123,0.3784739890155367,123,0.2270278789584001
124,0.8626413211458069,124,0.9024600407038365,124,0.9646461981642036,124,0.9947236512333464,124,0.3361971770271404,124,0.2211359509036347
125,0.8267080483970907,125,0.926155633634858,125,0.967860123147723,125,0.9964824341555644,125,0.3340754994134,125,0.2271291743692222
126,0.8028709331712853,126,0.909518430126148,126,0.9626768635865276,126,0.9912060853889108,126,0.3469397428301013,126,0.1969839170152702
127,0.8146578329996442,127,0.9116301572167984,127,0.9588854512677228,127,0.9912820328332794,127,0.2855389801911612,127,0.2135456940077877
128,0.8379415905915187,128,0.9005437536457508,128,0.9695687924109968,128,0.998241217077782,128,0.2743455215252439,128,0.198326175637105
129,0.8310542202140208,129,0.9113720146238514,129,0.9645883408442654,129,0.9929648683111288,129,0.2809264952895061,129,0.2325764904439161
130,0.8160121397776462,130,0.9049956758141612,130,0.9769296673130156,130,1.0,130,0.2865088170186965,130,0.2225694439789982
131,0.8251204765790564,131,0.9273876170784446,131,0.964753190791972,131,0.9964824341555644,131,0.274414089236726,131,0.2204394015079307
132,0.8410427354504119,132,0.9024781153232244,132,0.9730961155272708,132,0.9912060853889108,132,0.2557216915016718,132,0.2038258677411783
133,0.7875092048578599,133,0.910481054356762,133,0.9696455542960348,133,0.9875805635594798,133,0.2930179110948877,133,0.2296882295585103
134,0.8002038945453445,134,0.9023149632628136,134,0.9824165677351272,134,0.9964824341555644,134,0.263268834796277,134,0.2309279721995891
135,0.8242772008590176,135,0.8999944352233745,135,0.9643203060344986,135,0.9947236512333464,135,0.2961634851592178,135,0.2193729106446338
136,0.803209482363013,136,0.9095801804043332,136,0.971851878500078,136,0.9947236512333464,136,0.2702028853584634,136,0.2621794422581168
137,0.7613973566517296,137,0.8904293303727243,137,0.9734963967594272,137,0.9947236512333464,137,0.2624672897153255,137,0.2451007110607821
138,0.7941213398198471,138,0.9050357101734704,138,0.9645736843199136,138,0.9860538710111154,138,0.2673038185514068,138,0.264048081028407
139,0.7987267746439839,139,0.8818390740955937,139,0.973508065751833,139,0.9947236512333464,139,0.2313832511706301,139,0.252376318912121
140,0.7865335721669718,140,0.8774873202918346,140,0.9532956886928876,140,0.9929648683111288,140,0.2726555741062033,140,0.2724224752347826
141,0.8012285155620307,141,0.8984338731885686,141,0.9663480871237105,141,0.9858764401700688,141,0.2569997480400524,141,0.2732907248500124
142,0.7933893827824087,142,0.8756557839639079,142,0.967860123147723,142,0.9929382200850344,142,0.30985368586448,142,0.316596219211964
143,0.8107014837463081,143,0.8861776138550657,143,0.95380700153107,143,0.9843392372478244,143,0.309566122951292,143,0.3097718262666084
144,0.7680960453356092,144,0.8979742175277453,144,0.9714749243480886,144,0.9894206542405988,144,0.2784131052153713,144,0.3556096247355254
145,0.7713760646063641,145,0.8937408571580487,145,0.9501776777290234,145,0.9947236512333464,145,0.3262729006575431,145,0.3579543951651526
146,0.798242340528828,146,0.8617023152970472,146,0.9590336977007988,146,0.9964824341555644,146,0.3810150283710302,146,0.4179234655958165
147,0.7752003621848328,147,0.9066445985277592,147,0.9771358220111682,147,0.9964824341555644,147,0.4512184517842583,147,0.5632004628524431
148,0.753720194373608,148,0.8760011863776627,148,0.9625676365288554,148,0.9947236512333464,148,0.5722503573993232,148,0.7478377247605946
